Number;SoluteName;Formula;Charge;GasPhaseAcidity_B2PLYP//DLPNO-CCSD(T) [kcal/mol];pka_water;pka_DMSO;pka_Acetonitrile;pka_MeOH;Gsolv_Neutral_Water_exp [kcal/mol];Gsolv_Neutral_DMSO_TZVPD-Fine [kcal/mol];Gsolv_Neutral_Acetonitrile_TZVPD-Fine [kcal/mol];Gsolv_Neutral_MeOH_TZVPD-Fine [kcal/mol];GSolv_Ion_Water [kcal/mol];GSolv_Ion_DMSO [kcal/mol];GSolv_Ion_Acetonitrile [kcal/mol];GSolv_Ion_MeOH [kcal/mol]
i140;2-methylpyridine;H8C6N1;1;219.7193591;;;;6.2;;-5.75307214;-6.03380672;-6.9531502;;;;-56.71364674
i141;3-bromoaniline;H7C6N1BR1;1;199.9640743;;;;4.4;;-11.54192612;-10.21293735;-9.88427605;;;;-76.9439702
i144;3-methoxyaniline;H10C7N1O1;1;205.3409268;;;;6;;-10.76849901;-10.03068291;-9.73396839;;;;-73.59999866
i145;3-methylpyridine;H8C6N1;1;218.1455717;;;;5.8;;-5.95192023;-6.29759515;-7.08214965;;;;-57.87063645
i148;4-cyanopyridine;H5C6N2;1;203.09689;;;;4.6;;-8.34306526;-7.91675849;-8.20459339;;;;-72.40437043
i149;4-ethylpyridine;H10C7N1;1;220.338053;;;;6.1;;-6.21126374;-6.75730912;-7.60410694;;;;-56.60946029
i150;4-methylbenzoicacid;H9C8O2;1;189.985012;;;0.4;;;-12.40610232;-10.64934919;-11.06872777;;;-82.2301343;
i151;4-methylpyridine;H8C6N1;1;219.1376653;;;;6.1;;-6.06195202;-6.43045635;-7.26667451;;;;-57.47241549
i153;4-phenylpyridine;H10C11N1;1;;;;;5.8;;-9.8148814;-10.01848063;-10.70923473;;;;
i154;aceticacid;H5C2O2;1;177.2408464;;;1.1;;;-8.98743424;-7.21121308;-7.61398477;;;-92.49130881;
i157;benzoicacid;H7C7O2;1;186.9674132;;;0;;;-12.18491218;-10.14933747;-10.61828888;;;-84.20192422;
i158;benzylamine;H10C7N1;1;213.4142973;;;16.8;;;-7.11949211;-7.3357888;-8.50799086;;;-77.86497117;
i159;diisobutylamine;H20C8N1;1;;;;17.9;;;-3.66810007;-4.81890674;-6.42276863;;;;
i161;di-n-butylamine;H20C8N1;1;;;;18.3;;;-3.85520038;-5.01012654;-6.62975016;;;;
i163;ethylamine;H8C2N1;1;210.7168814;;;18.4;11;;-3.18891382;-3.48205909;-5.18096626;;;-78.89184594;-70.4935061
i164;hydrogensulfide;H3S1;1;161.1369017;;;0.5;;;-3.10684649;-3.08774191;-2.54389419;;;-103.6530867;
i165;isobutylamine;H12C4N1;1;213.5639651;;;17.9;;;-3.67221601;-4.16933623;-5.79734786;;;-76.04979298;
i167;methoxybenzene;H9C7O1;1;181.4136131;;;-0.5;;;-5.84586603;-6.23933761;-5.80343474;;;-85.16347812;
i175;n-butanol;H11C4O1;1;181.047877;;;2.2;;;-6.30992983;-5.52423452;-6.50616992;;;-88.49824172;
i176;n-butylamine;H12C4N1;1;212.7572271;;;18.3;11.5;;-3.67365324;-4.13578662;-5.74827379;;;-77.3687785;-69.70271436
i178;phenol;H7C6O1;1;171.4859677;;;0.4;;;-10.97081133;-9.19017319;-9.42040867;;;-99.2700026;
i179;t-butanol;H11C4O1;1;187.2323046;;;3.4;;;-5.82434085;-5.25397105;-6.38135059;;;-83.68094208;
i180;tetrahydrofuran;H9C4O1;1;189.943407;;;1.1;;;-3.32473159;-4.02273716;-4.55871542;;;-76.6002723;
i181;thioacetamide;H6C2N1S1;1;202.4070273;;;4.7;;;-13.08795302;-10.75238746;-10.49125988;;;-75.77847654;
i184;tri-n-butylamine;H28C12N1;1;;;;18.1;;;-3.61759348;-5.3324739;-7.12378689;;;;
i186;1,2,3-triazole;H2C2N3;-1;339.8418287;;13.9;;;;-10.58010084;-8.03008033;-9.00116707;;-70.43547908;;
i187;1,2,4-triazole;H2C2N3;-1;332.0148639;;14.8;;;;-15.79007951;-13.7778926;-15.78122386;;-66.59044944;;
i189;2,4,6-trimethylbenzoicacid;H11C10O2;-1;;;;20.6;;;-12.9019313;-11.48404737;-11.90673377;;;;
i191;2,4-dinitrophenol;H3C6N2O5;-1;;;5.8;16.8;7.8;;-12.49090117;-11.74680117;-10.74421682;;;;
i194;2-chlorobenzoicacid;H4C7O2CL1;-1;329.7526889;;9.3;19;8.8;;-13.91406233;-11.76752503;-12.08790712;;-69.95696781;-54.57484997;-68.81305902
i197;2-fluorobenzoicacid;H4C7O2F1;-1;331.8702667;;;;8.4;;-12.56506908;-10.45488796;-10.84823608;;;;-70.23676293
i198;2-fluorophenol;H4C6O1F1;-1;340.3700365;;;;12.9;;-9.59788581;-7.9065046;-7.96985016;;;;-69.71792907
i199;2-hydroxybenzoicacid;H5C7O3;-1;318.1411663;;;16.7;8;;-14.6873983;-12.22276181;-12.63214158;;;-46.5568977;-58.83736517
i200;2-indanone;H7C9O1;-1;342.7792241;;17;;;;-8.35987432;-8.84783132;-8.3177854;;-66.92272014;;
i201;2-methoxyacetamide;H6C3N1O2;-1;358.2578261;;23.9;;;;-10.04759284;-9.01670165;-9.7603122;;-74.67404005;;
i204;2-naphthol;H7C10O1;-1;336.9137643;;17.1;;;;-13.86896373;-12.04853552;-12.25464105;;-66.42990045;;
i205;2-nitrobenzoicacid;H4C7N1O4;-1;323.9904908;;8.2;18.2;7.7;;-17.02690109;-14.47819113;-14.29440766;;-68.80855062;-52.61491227;-66.75830361
i206;2-nitropropane;H6C3N1O2;-1;351.8207278;;16.9;;;;-5.36960548;-5.81812844;-4.97454675;;-73.1104043;;
i207;2-t-butylphenol;H13C10O1;-1;;;;;16.5;;-11.43561505;-10.1304425;-10.40083834;;;;
i208;3,4,5-trichlorophenol;H2C6O1CL3;-1;324.4852196;;;22.5;;;-14.64236485;-12.41780483;-12.82984788;;;-45.18193555;
i209;3,4-dimethylbenzoicacid;H9C9O2;-1;;;11.4;21.2;9.7;;-12.96484372;-11.36232226;-11.79731654;;;;
i211;3-aminobenzoicacid;H6C7N1O2;-1;334.8245018;;11;;;;-17.10062381;-13.83653194;-14.2987096;;-75.89570434;;
i212;3-aminopyridine;H5C5N2;-1;356.8140409;;28.5;;;;-11.05193497;-9.82749639;-10.91194199;;-67.95792991;;
i213;3-chlorobenzoicacid;H4C7O2CL1;-1;;;;;8.7;;-13.29360444;-11.09795746;-11.54109431;;;;
i215;3-chlorophenol;H4C6O1CL1;-1;335.1682927;;;25;13.1;;-12.44516718;-10.44174144;-10.65408113;;;-50.47771313;-66.92751761
i217;3-cyanobenzoicacid;H4C8N1O2;-1;323.8042354;;;;8.5;;-15.95845438;-13.31577999;-13.67666382;;;;-64.86271013
i218;3-hydroxybenzoicacid;H5C7O3;-1;331.6247035;;11.1;;9.6;;-18.75358763;-14.64097811;-15.5809483;;-74.21242062;;-73.08652055
i219;3-methylbenzoicacid;H7C8O2;-1;335.6968369;;11;;9.4;;-12.33979803;-10.53689931;-10.9796043;;-72.00721373;;-72.83020854
i220;3-nitrobenzoicacid;H4C7N1O4;-1;323.4268425;;;19.3;8.3;;-16.05688937;-13.50007113;-13.66878986;;;-49.57220187;-64.75034183
