Number;SoluteName;Formula;Charge;GasPhaseAcidity_B2PLYP//DLPNO-CCSD(T) [kcal/mol];pka_water;pka_DMSO;pka_Acetonitrile;pka_MeOH;Gsolv_Neutral_Water_exp [kcal/mol];Gsolv_Neutral_DMSO_TZVPD-Fine [kcal/mol];Gsolv_Neutral_Acetonitrile_TZVPD-Fine [kcal/mol];Gsolv_Neutral_MeOH_TZVPD-Fine [kcal/mol];GSolv_Ion_Water [kcal/mol];GSolv_Ion_DMSO [kcal/mol];GSolv_Ion_Acetonitrile [kcal/mol];GSolv_Ion_MeOH [kcal/mol]
i270;phenylacetylene;H5C8;-1;363.9984507;;28.7;;;;-5.97433678;-6.0143193;-5.56132642;;-69.79184303;;
i271;phenylmalononitrile;H5C9N2;-1;313.320177;;4.2;;;;-11.54978295;-10.70208574;-10.12975308;;-58.11908998;;
i272;pyrazole;H3C3N2;-1;348.8487031;;19.8;;;;-9.81887859;-8.06049896;-8.95636045;;-70.63062343;;
i274;succinimide;H4C4N1O2;-1;336.5943453;;14.6;;;;-12.63120348;-11.23051167;-11.31498058;;-68.28395333;;
i275;tetrazole;H1C1N4;-1;324.3106702;;8.2;;;;-16.51334203;-13.35157428;-14.2473085;;-68.61517098;;
i276;trifluoroacetamide;H1C2N1O1F3;-1;338.2425426;;17.2;;;;-11.29245494;-8.44747356;-8.85108719;;-65.04572071;;
i277;trifluoroaceticacid;C2O2F3;-1;317.5205078;;3.5;12.7;;;-10.22961208;-7.63355337;-8.32381547;;-61.95439492;-46.80500209;
i279;urea;H3C1N2O1;-1;357.2370072;;27;;;;-13.29244023;-11.11734516;-12.68645052;;-72.66814082;;
i280;cyanoacetophenone;H6C9N1O1;-1;328.0752817;;10.2;;;;-12.18151848;-11.91720198;-11.01415417;;-65.3189732;;
i281;3-methoxybenzoicacid;H7C8O3;-1;332.9103023;;;;9.3;;-13.41076715;-11.48409723;-11.80151721;;;;-71.00203615
