Number;IUPAC-Name;Charge;Molecular Formula;Isomeric SMILES;Water;DMSO;Acetonitrile;Methanol;dG_gas;Water_neutral;DMSO_neutral;Acetonitrile_neutral;Methanol_neutral;Water_neutral_ref;Water_pka;DMSO_pka;Acetonitrile_pka;Methanol_pka;Water_pka_ref;DMSO_pka_ref;Acetonitrile_pka_ref;Methanol_pka_ref;;;;;
31;1H-pyrrole;1;H6C4N1;C1=CNC=C1;-58.9;;;;201.1;-4.3;-8.3;-7.0;-7.0;46;-3.8;;;;48;;;;;;;;
32;pyridine;1;H6C5N1;C1=CC=NC=C1;-57.5;-63.6;-52.8;-59.9;215.1;-4.7;-5.7;-5.8;-6.6;53;5.2;3.5;12.3;5.4;48;26;1,2;34,35;;;;;
33;quinoline;1;H8C9N1;C1=CC=C2C(=C1)C=CC=N2;-52.9;;;-57.1;220.1;-5.7;-8.2;-8.3;-9.1;46;4.8;;;5.2;48;;;34;;;;;
34;piperazine;1;H11C4N2;C1CNCCN1;-61.8;;;;219.7;-7.4;-6.1;-6.4;-10.0;53;9.7;;;;48;;;;;;;;
35;acetonitrile;1;H4C2N1;CC#N;-71.8;;;;179.3;-3.9;-5.7;-5.6;-5.2;53;-10;;;;48;;;;;;;;
36;acetonitrile;-1;H2C2N1;CC#N;-77.0;-62.8;;;368.1;-3.9;-5.7;-5.6;-5.1;53;25;31.3;;;49;26;;;;;;;
37;cyanamide;-1;H1C1N2;C(#N)N;-74.9;-65.9;;;343.6;-6.2;-13.7;-10.3;-11.2;46;10.3;16.9;;;51;26;;;;;;;
38;aniline;-1;H6C6N1;C1=CC=C(C=C1)N;-68.8;-60.8;;;361.9;-5.5;-8.9;-8.1;-8.0;53;27.7;30.6;;;48;26;;;;;;;
39;N-phenylaniline;-1;H10C12N1;C1=CC=C(C=C1)NC2=CC=CC=C2;;;;;;-5.3;-12.1;-11.3;-11.0;46;22.4;25;;;48;26;;;;;;;
40;formonitrile;-1;C1N1;C#N;-75.2;-67.0;;;345.5;-3.1;-7.3;-4.0;-4.9;46;9.2;12.9;;;7;32;;;;;;;
41;azane;1;H4N1;N;-82.1;-89.7;-75.2;-84.6;195.7;-4.3;-2.9;-3.0;-4.5;53;9.3;10.5;16.5;10.8;7;26;2;34;;;;;
42;hydrazine;1;H5N2;NN;-78.3;;-73.2;;199.9;-6.3;-4.8;-5.2;-7.8;46;8.1;;16.6;;48;;2;;;;;;
43;methanol;1;H5C1O1;CO;-90.0;;-79.8;;173.1;-5.1;-5.5;-4.3;-5.2;53;-2.1;;2.4;;48;;6;;;;;;
44;ethanol;1;H7C2O1;CCO;-84.7;;;;178.6;-5;-5.7;-4.7;-5.7;53;-1.9;;;;48;;;;;;;;
45;methoxymethane;1;H7C2O1;COC;-76.7;;;;182.5;-1.8;-1.8;-2.3;-2.5;53;-2.5;;;;48;;;;;;;;
46;ethoxyethane;1;H11C4O1;CCOCC;-69.0;;-58.4;;190.4;-1.8;-2.4;-3.2;-3.7;53;-2.4;;0.2;;48;;2;;;;;;
47;propan-2-one;1;H7C3O1;CC(=O)C;-74.2;;-63.4;;186.5;-3.9;-4.3;-4.8;-4.6;53;-2.9;;-0.1;;48;;3;;;;;;
48;1-phenylethanone;1;H9C8O1;CC(=O)C1=CC=CC=C1;-61.7;;-55.1;;197.9;-4.6;-7.4;-7.8;-7.6;53;-4.3;;-0.1;;48;;3;;;;;;
49;formic acid;-1;H1C1O2;C(=O)O;-80.1;;;;339.1;-7;-9.4;-7.3;-7.7;46;3.8;;;;48;;;;;;;;
50;acetic acid;-1;H3C2O2;CC(=O)O;-81.9;-66.5;-74.1;-75.9;342.6;-6.7;-9.0;-7.2;-7.6;53;4.8;12.3;22.3;9.7;48;26;10,18,19;22,34;;;;;
51;propanoic acid;-1;H5C3O2;CCC(=O)O;-79.6;;;-74.1;340.6;-6.5;-9.1;-7.4;-7.8;53;4.9;;;9.7;48;;;34,37;;;;;
52;hexanoic acid;-1;H11C6O2;CCCCCC(=O)O;-78.1;;;;339.4;-6.2;-10.1;-8.8;-9.3;53;4.9;;;;48;;;;;;;;
53;prop-2-enoic acid;-1;H3C3O2;C=CC(=O)O;-77.9;;;-72.1;338.0;-6.6;-9.4;-7.4;-7.8;46;4.3;;;9.3;48;;;34;;;;;
54;2-oxopropanoic acid;-1;H3C3O3;CC(=O)C(=O)O;-72.0;;;;326.9;-9.4;-8.8;-7.2;-6.9;46;2.5;;;;48;;;;;;;;
55;benzoic acid;-1;H5C7O2;C1=CC=C(C=C1)C(=O)O;-75.0;-62.6;-70.2;-70.3;333.6;-7.9;-12.2;-10.2;-10.6;46;4.2;11;20.7;9.4;48;26?28;9,11,16;37?39;;;;;
56;methanol;-1;H3C1O1;CO;-101.9;-76.5;;;378.8;-5.1;-5.5;-4.3;-5.2;53;15.5;29;;;48;26;;;;;;;
57;ethanol;-1;H5C2O1;CCO;-96.5;-70.8;;;374.0;-5;-5.7;-4.7;-5.7;53;15.9;29.8;;;48;31;;;;;;;
58;propan-1-ol;-1;H7C3O1;CCCO;-95.0;;;;373.0;-4.8;-5.8;-5.0;-5.9;53;16.1;;;;48;;;;;;;;
59;propan-2-ol;-1;H7C3O1;CC(C)O;-92.3;-67.9;;;371.7;-4.8;-5.8;-5.0;-6.2;53;17.1;30.3;;;48;26;;;;;;;
60;butan-2-ol;-1;H9C4O1;CCC(C)O;-89.2;;;;369.4;-4.7;-5.9;-5.3;-6.3;46;17.6;;;;48;;;;;;;;
61;2-methylpropan-2-ol;-1;H9C4O1;CC(C)(C)O;-87.8;-63.9;;;370.3;-4.5;-5.8;-5.2;-6.3;53;19.2;32.2;;;48;26;;;;;;;
62;prop-2-en-1-ol;-1;H5C3O1;C=CCO;-93.0;;;;369.9;-5.1;-6.6;-5.5;-6.2;53;15.5;;;;48;;;;;;;;
63;phenylmethanol;-1;H7C7O1;C1=CC=C(C=C1)CO;-88.9;;;;364.2;-6.6;-9.5;-8.4;-9.0;46;15.4;;;;48;;;;;;;;
64;2-methoxyethanol;-1;H7C3O2;COCCO;-95.9;;;;370.1;-6.8;-6.2;-5.7;-6.3;53;14.8;;;;48;;;;;;;;
65;phenol;-1;H5C6O1;C1=CC=C(C=C1)O;-75.5;-61.5;-70.4;-72.1;343.4;-6.6;-10.9;-9.2;-9.4;53;10;18;27;14.4;48;26;9,25;34,40,45;;;;;
66;2-methylphenol;-1;H7C7O1;CC1=CC=CC=C1O;-73.6;;;;342.6;-5.9;-10.7;-9.2;-9.4;53;10.3;;;;48;;;;;;;;
67;3-methylphenol;-1;H7C7O1;CC1=CC(=CC=C1)O;-74.3;;;;343.4;-5.5;-11.1;-9.5;-9.7;53;10.1;;;;48;;;;;;;;
68;4-methylphenol;-1;H7C7O1;CC1=CC=C(C=C1)O;-76.2;;;;345.0;-6.1;-11.0;-9.5;-9.7;53;10.3;;;;48;;;;;;;;
69;ethane-1,2-diol;-1;H5C2O2;C(CO)O;-98.5;;;;371.1;-9.3;-10.0;-8.0;-9.3;53;15.4;;;;48;;;;;;;;
70;2-methoxyphenol;-1;H7C7O2;COC1=CC=CC=C1O;;;;-70.9;343.7;;-8.9;-8.6;-8.0;;;;;14.5;;;;34;;;;;
71;benzene-1,3-diol;-1;H5C6O2;C1=CC(=CC(=C1)O)O;-78.7;;;;340.9;-11.4;-17.6;-13.9;-14.6;46;9.3;;;;51;;;;;;;;
72;benzene-1,4-diol;-1;H5C6O2;C1=CC(=CC=C1O)O;-82.4;;;;344.9;-11.9;-17.3;-13.7;-14.4;46;9.9;;;;51;;;;;;;;
73;hydroperoxymethane;-1;H3C1O2;COO;-98.0;;;;369.2;-5.3;-7.3;-5.7;-5.9;54;11.5;;;;48;;;;;;;;
74;hydroperoxyethane;-1;H5C2O2;CCOO;-96.8;;;;368.4;-5.3;-7.4;-6.0;-6.2;54;11.8;;;;48;;;;;;;;
75;acetaldehyde;-1;H3C2O1;CC=O;-82.3;;;;362.2;-3.5;-3.9;-4.2;-3.9;46;16.5;;;;48;;;;;;;;
76;propan-2-one;-1;H5C3O1;CC(=O)C;-82.5;-65.3;;;365.4;-3.9;-4.3;-4.8;-4.6;53;19;26.5;;;48;26;;;;;;;
77;pentan-3-one;-1;H9C5O1;CCC(=O)CC;-78.2;-62.1;;;362.9;-3.3;-4.4;-5.2;-5.1;46;19.9;27.1;;;48;29;;;;;;;
78;oxidane;1;H3O1;O;-107.2;;;;157.6;-6.3;-7.2;-4.9;-6.4;53;-1.7;;;;48;;;;;;;;
79;oxidane;-1;H1O1;O;-118.8;-91.2;;;394.8;-6.3;-7.2;-4.9;-6.4;53;15.7;31.2;;;48;26;;;;;;;
80;hydrogen peroxide;-1;H1O2;OO;-106.0;;;;374.2;-8.6;-11.2;-7.9;-8.7;54;11.7;;;;48;;;;;;;;
81;Hydroperoxylradical;-1;O2;OO;-101.8;;;;362.1;-7;-9.5;-6.9;-7.4;47;4.7;;;;48;;;;;;;;
82;4-methoxyaniline;1;H10C7N1O1;COC1=CC=C(C=C1)N;-67.3;;;-71.6;208.3;-7.6;-10.1;-9.6;-9.5;46;5.3;;;6.9;48;;;34;;;;;
83;4-nitroaniline;1;H7C6N2O2;C1=CC(=CC=C1N)[N+](=O)[O-];-80.2;;;-86.2;191.9;-9.9;-17.9;-14.9;-14.8;46;1;;;1.6;48;;;34;;;;;
84;morpholine;1;H10C4N1O1;C1COCCN1;-65.0;;-59.6;;214.5;-7.2;-5.7;-6.1;-7.9;53;8.4;;16.6;;48;;2;;;;;;
85;acetamide;1;H6C2N1O1;CC(=O)N;-73.6;;;;196.1;-9.7;-10.3;-8.8;-10.1;53;-0.6;;;;48;;;;;;;;
86;benzamide;1;H8C7N1O1;C1=CC=C(C=C1)C(=O)N;-66.8;;-59.3;;203.0;-10.9;-13.7;-11.8;-12.6;46;-1.4;;3.8;;48;;3;;;;;;
87;2-nitrophenol;-1;H4C6N1O3;C1=CC=C(C(=C1)[N+](=O)[O-])O;-66.1;;;;332.2;-4.5;-8.7;-8.5;-7.8;46;7.2;;;;48;;;;;;;;
88;3-nitrophenol;-1;H4C6N1O3;C1=CC(=CC(=C1)O)[N+](=O)[O-];-66.1;;-64.3;-64.3;328.8;-9.6;-15.8;-13.4;-13.3;46;8.4;;23.9;12.3;48;;17;34,40,41;;;;;
89;4-nitrophenol;-1;H4C6N1O3;C1=CC(=CC=C1[N+](=O)[O-])O;-62.2;-55.8;-62.8;-59.8;322.1;-10.6;-16.7;-14.2;-14.2;46;7.1;10.8;20.7;11.3;48;26;12,16;34,37;;;;;
90;nitromethane;-1;H2C1N1O2;C[N+](=O)[O-];-83.6;-68.6;;;354.3;-4;-5.9;-6.0;-5.1;46;10.2;17.2;;;48;26;;;;;;;
91;4-nitroaniline;-1;H5C6N2O2;C1=CC(=CC=C1N)[N+](=O)[O-];-62.7;-59.6;;;338.5;-9.9;-17.8;-14.9;-14.8;46;18.2;20.9;;;48;30;;;;;;;
92;acetamide;-1;H4C2N1O1;CC(=O)N;-86.8;-65.8;;;358.6;-9.7;-10.3;-8.8;-10.1;53;15.1;25.5;;;48;26;;;;;;;
